TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
wt,amp,PAK5,20,57,177,234,0.5686,0.5527,0.0159,0.0159,,
lof,amp,PDGFRB,20,46,197,243,0.5842,0.5683,0.0159,0.0159,,
wt,amp,H1-3,20,38,201,239,0.5694,0.5535,0.0159,0.0159,,
wt,amp,FURIN,20,31,214,245,0.5742,0.5583,0.0159,0.0159,,
lof,amp,ERBB3,20,28,225,253,0.5884,0.5725,0.0159,0.0159,,
lof,lof,MLH1,20,89,159,248,0.5811,0.5653,0.0158,0.0158,,
wt,lof,SMARCB1,20,45,197,242,0.5445,0.5603,-0.0158,0.0158,,
lof,lof,RECQL,20,29,180,209,0.5783,0.5626,0.0158,0.0158,,
lof,amp,IL7R,20,99,162,261,0.5829,0.5672,0.0157,0.0157,,
lof,lof,MITF,20,89,157,246,0.5805,0.5648,0.0157,0.0157,,
lof,amp,ZBTB20,20,59,196,255,0.582,0.5663,0.0157,0.0157,,
wt,lof,RB1,20,41,190,231,0.5708,0.555,0.0157,0.0157,,
lof,amp,IL3,20,35,213,248,0.5884,0.5727,0.0157,0.0157,,
lof,lof,MED12,20,184,77,261,0.5779,0.5623,0.0156,0.0156,,
lof,lof,SMARCA2,20,107,120,227,0.5817,0.5661,0.0156,0.0156,,
lof,lof,BAP1,20,106,153,259,0.5814,0.5658,0.0156,0.0156,,
lof,lof,MYD88,20,87,167,254,0.5807,0.565,0.0156,0.0156,,
lof,amp,CDK4,20,38,224,262,0.5883,0.5726,0.0156,0.0156,,
lof,amp,BRD4,20,27,168,195,0.5623,0.5778,-0.0156,0.0156,,
lof,amp,TP63,20,88,169,257,0.5814,0.5659,0.0155,0.0155,,
lof,amp,ABL2,20,83,174,257,0.5623,0.5778,-0.0155,0.0155,,
lof,amp,FUS,20,41,197,238,0.5825,0.567,0.0155,0.0155,,
lof,lof,MAP2K1,20,27,217,244,0.588,0.5725,0.0155,0.0155,,
lof,amp,DNMT3B,20,117,156,273,0.5808,0.5654,0.0154,0.0154,,
lof,lof,CHTF8,20,51,183,234,0.5609,0.5763,-0.0154,0.0154,,
lof,lof,SUZ12,20,46,170,216,0.5864,0.571,0.0154,0.0154,,
lof,amp,TMEM127,20,30,235,265,0.5857,0.5703,0.0154,0.0154,,
wt,amp,SET,20,29,217,246,0.574,0.5585,0.0154,0.0154,,
lof,amp,PTPN1,20,129,146,275,0.5807,0.5654,0.0153,0.0153,,
wt,amp,GNAS,20,96,145,241,0.5691,0.5539,0.0153,0.0153,,
wt,lof,PBRM1,20,47,204,251,0.571,0.5558,0.0153,0.0153,,
wt,amp,AURKA,20,98,165,263,0.5698,0.5546,0.0152,0.0152,,
lof,lof,NADK,20,54,177,231,0.5847,0.5696,0.0152,0.0152,,
wt,lof,BAP1,20,48,206,254,0.5713,0.5561,0.0152,0.0152,,
lof,amp,XBP1,20,31,170,201,0.5855,0.5703,0.0152,0.0152,,
wt,amp,ARID3B,20,29,226,255,0.5718,0.5566,0.0152,0.0152,,
wt,lof,SETDB2,20,40,199,239,0.571,0.5559,0.0151,0.0151,,
wt,amp,BRSK1,20,27,218,245,0.5449,0.5601,-0.0151,0.0151,,
lof,amp,PIK3CB,20,72,191,263,0.5836,0.5685,0.015,0.015,,
lof,lof,MKI67,20,62,162,224,0.5604,0.5754,-0.015,0.015,,
lof,amp,MAPK1,20,53,155,208,0.5896,0.5746,0.015,0.015,,
lof,lof,RAD51D,20,42,179,221,0.5853,0.5703,0.015,0.015,,
lof,lof,GRIN2A,20,39,193,232,0.5877,0.5727,0.015,0.015,,
wt,amp,GSK3B,20,30,224,254,0.5735,0.5584,0.015,0.015,,
lof,lof,MTAP,20,148,108,256,0.5753,0.5604,0.0149,0.0149,,
lof,lof,INHA,20,33,221,254,0.5646,0.5796,-0.0149,0.0149,,
wt,amp,GNAQ,20,28,213,241,0.5729,0.558,0.0149,0.0149,,
lof,amp,LZTR1,20,55,153,208,0.5882,0.5733,0.0148,0.0148,,
wt,amp,MDM2,20,52,210,262,0.571,0.5562,0.0148,0.0148,1.02E-19,1.22E-18
wt,lof,CYSLTR2,20,41,199,240,0.5708,0.556,0.0148,0.0148,,
wt,lof,LATS2,20,40,188,228,0.57,0.5552,0.0148,0.0148,,
lof,amp,MAP4K4,20,27,228,255,0.5856,0.5708,0.0148,0.0148,,
lof,amp,RAC2,20,25,167,192,0.5867,0.5719,0.0148,0.0148,,
lof,amp,MYC,20,142,122,264,0.5813,0.5666,0.0147,0.0147,,
lof,lof,GATA3,20,74,166,240,0.5812,0.5665,0.0147,0.0147,,
lof,amp,TSHR,20,45,186,231,0.5848,0.5701,0.0147,0.0147,,
wt,lof,RNASEH2B,20,42,196,238,0.5725,0.5578,0.0147,0.0147,,
lof,amp,PAX8,20,29,223,252,0.5853,0.5706,0.0147,0.0147,,
lof,lof,MET,20,26,156,182,0.583,0.5683,0.0147,0.0147,,
lof,lof,CTNNB1,20,96,157,253,0.5824,0.5678,0.0146,0.0146,,
lof,amp,DDX41,20,62,193,255,0.5865,0.5719,0.0146,0.0146,,
lof,lof,IDH2,20,28,199,227,0.5843,0.5696,0.0146,0.0146,,
lof,lof,KDM5C,20,209,58,267,0.5758,0.5613,0.0145,0.0145,,
lof,lof,NCOR1,20,204,49,253,0.5704,0.5848,-0.0145,0.0145,,
lof,lof,NF1,20,51,155,206,0.5839,0.5694,0.0145,0.0145,,
lof,lof,TET1,20,44,196,240,0.5621,0.5766,-0.0145,0.0145,,
lof,lof,HLA-C,20,42,156,198,0.563,0.5775,-0.0145,0.0145,,
lof,lof,JARID2,20,41,177,218,0.5785,0.564,0.0145,0.0145,,
wt,amp,MSH2,20,35,211,246,0.5472,0.5617,-0.0145,0.0145,,
wt,amp,ZFP36L2,20,35,220,255,0.5455,0.56,-0.0145,0.0145,,
lof,lof,IRS1,20,32,209,241,0.5605,0.5751,-0.0145,0.0145,,
lof,lof,FES,20,29,187,216,0.5831,0.5686,0.0145,0.0145,,
wt,amp,SDHC,20,90,171,261,0.5647,0.5503,0.0144,0.0144,,
lof,amp,GAB2,20,80,158,238,0.585,0.5706,0.0144,0.0144,,
lof,amp,FLT4,20,58,187,245,0.584,0.5697,0.0143,0.0143,,
lof,lof,PLCG2,20,56,164,220,0.5602,0.5745,-0.0143,0.0143,,
lof,amp,FANCL,20,40,228,268,0.5867,0.5724,0.0143,0.0143,,
wt,amp,IGF1R,20,34,207,241,0.5709,0.5567,0.0143,0.0143,,
lof,lof,PIK3CG,20,29,153,182,0.5842,0.5699,0.0143,0.0143,,
wt,amp,PARP1,20,77,175,252,0.566,0.5518,0.0142,0.0142,,
lof,amp,NOTCH2,20,69,168,237,0.581,0.5669,0.0142,0.0142,,
lof,lof,BRSK1,20,36,176,212,0.5611,0.5753,-0.0142,0.0142,,
lof,amp,ROS1,20,31,173,204,0.5836,0.5695,0.0142,0.0142,,
lof,lof,AR,20,183,75,258,0.5775,0.5635,0.0141,0.0141,,
lof,amp,YES1,20,58,160,218,0.588,0.5739,0.0141,0.0141,,
wt,lof,SMARCA2,20,43,179,222,0.5513,0.5654,-0.0141,0.0141,,
lof,amp,RRAGC,20,34,204,238,0.5841,0.57,0.0141,0.0141,,
lof,lof,CYSLTR2,20,102,143,245,0.5812,0.5672,0.014,0.014,,
lof,lof,YAP1,20,48,155,203,0.559,0.5728,-0.0139,0.0139,,
lof,lof,XRCC2,20,41,153,194,0.5835,0.5696,0.0139,0.0139,,
lof,amp,MEN1,20,62,187,249,0.5828,0.569,0.0138,0.0138,,
lof,lof,EZH2,20,37,151,188,0.5853,0.5715,0.0138,0.0138,,
lof,lof,CD58,20,36,191,227,0.5816,0.5678,0.0138,0.0138,,
wt,amp,ARID2,20,29,202,231,0.5674,0.5536,0.0138,0.0138,,
lof,lof,ESCO2,20,112,135,247,0.5785,0.5648,0.0137,0.0137,,
wt,amp,BCL9,20,90,157,247,0.5685,0.5548,0.0137,0.0137,,
wt,amp,SRC,20,85,171,256,0.5707,0.557,0.0137,0.0137,,
lof,lof,ROBO1,20,81,151,232,0.5813,0.5677,0.0137,0.0137,,
lof,amp,MYBL1,20,72,175,247,0.5793,0.5655,0.0137,0.0137,,
lof,lof,GNB1,20,53,183,236,0.5844,0.5707,0.0137,0.0137,,
lof,lof,RET,20,39,197,236,0.5582,0.5719,-0.0137,0.0137,,
lof,amp,FUBP1,20,37,195,232,0.5844,0.5707,0.0137,0.0137,,
wt,amp,EPCAM,20,35,218,253,0.5472,0.5609,-0.0137,0.0137,,
wt,amp,IDH2,20,31,219,250,0.5704,0.5567,0.0137,0.0137,,
lof,amp,STAT6,20,30,226,256,0.5835,0.5698,0.0137,0.0137,,
lof,amp,CRKL,20,55,157,212,0.5852,0.5716,0.0136,0.0136,,
lof,amp,SETD1A,20,41,197,238,0.5825,0.5689,0.0136,0.0136,,
lof,amp,AFF4,20,36,202,238,0.5854,0.5718,0.0136,0.0136,,
lof,amp,PAX5,20,35,160,195,0.5795,0.5659,0.0136,0.0136,,
lof,amp,ESR1,20,32,167,199,0.563,0.5766,-0.0136,0.0136,,
lof,amp,RB1,20,27,130,157,0.5613,0.5749,-0.0136,0.0136,,
wt,amp,NUF2,20,89,168,257,0.5654,0.552,0.0135,0.0135,,
lof,lof,IRS2,20,82,133,215,0.584,0.5704,0.0135,0.0135,,
wt,amp,SDHA,20,73,179,252,0.5709,0.5574,0.0135,0.0135,,
lof,lof,BCOR,20,212,54,266,0.5752,0.5618,0.0134,0.0134,,
lof,amp,EGR1,20,41,203,244,0.5804,0.5669,0.0134,0.0134,,
wt,amp,HLA-A,20,31,162,193,0.5689,0.5555,0.0134,0.0134,,
wt,amp,H1-5,20,30,209,239,0.5713,0.5579,0.0134,0.0134,,
lof,amp,ASXL1,20,113,142,255,0.5817,0.5683,0.0133,0.0133,,
lof,lof,RHEB,20,38,155,193,0.5856,0.5723,0.0133,0.0133,,
lof,lof,CUL3,20,32,228,260,0.5603,0.5736,-0.0133,0.0133,,
wt,lof,FLI1,20,49,196,245,0.5666,0.5534,0.0132,0.0132,,
wt,amp,SFRP1,20,42,187,229,0.5643,0.5511,0.0132,0.0132,,
wt,amp,DNMT3A,20,29,223,252,0.5482,0.5615,-0.0132,0.0132,,
lof,amp,RTEL1,20,120,142,262,0.5806,0.5675,0.0131,0.0131,,
lof,amp,RICTOR,20,101,155,256,0.5812,0.5681,0.0131,0.0131,,
lof,lof,ATXN7,20,94,154,248,0.5804,0.5672,0.0131,0.0131,,
lof,lof,KLF5,20,83,151,234,0.5826,0.5696,0.0131,0.0131,,
lof,amp,DIS3,20,40,146,186,0.5634,0.5765,-0.0131,0.0131,,
lof,lof,KDM5A,20,37,171,208,0.5814,0.5683,0.0131,0.0131,,
lof,lof,SMC1A,20,209,57,266,0.5758,0.5628,0.013,0.013,,
wt,amp,MAFB,20,88,168,256,0.5689,0.556,0.013,0.013,,
lof,lof,YES1,20,58,160,218,0.5609,0.5739,-0.013,0.013,,
lof,amp,IRF8,20,44,171,215,0.5921,0.5791,0.013,0.013,,
lof,amp,SMARCA2,20,39,120,159,0.5791,0.5661,0.013,0.013,,
lof,lof,MAP3K1,20,35,196,231,0.5581,0.5711,-0.013,0.013,,
lof,lof,SMAD3,20,26,219,245,0.5858,0.5728,0.013,0.013,,
wt,amp,KAT7,20,56,205,261,0.5678,0.5549,0.0129,0.0129,,
wt,lof,NF2,20,43,199,242,0.5645,0.5516,0.0129,0.0129,,
lof,lof,POT1,20,34,153,187,0.583,0.5701,0.0129,0.0129,,
lof,amp,TBX3,20,31,211,242,0.5654,0.5782,-0.0129,0.0129,,
lof,lof,CCNB3,20,209,54,263,0.5784,0.5656,0.0128,0.0128,,
lof,amp,EXT1,20,111,150,261,0.5834,0.5706,0.0128,0.0128,,
wt,amp,SAMHD1,20,83,175,258,0.5705,0.5577,0.0128,0.0128,,
wt,lof,PTPRD,20,52,176,228,0.5489,0.5616,-0.0128,0.0128,,
lof,lof,SCG5,20,38,218,256,0.5841,0.5713,0.0128,0.0128,,
wt,amp,ERBB2,20,25,220,245,0.5676,0.5548,0.0128,0.0128,,
lof,lof,TFE3,20,211,56,267,0.5763,0.5636,0.0127,0.0127,,
lof,amp,KAT7,20,91,178,269,0.5828,0.5701,0.0127,0.0127,,
lof,lof,PDGFB,20,75,171,246,0.5642,0.5769,-0.0127,0.0127,,
lof,lof,PPARG,20,63,179,242,0.5782,0.5655,0.0127,0.0127,,
lof,lof,CTCF,20,49,177,226,0.5612,0.5739,-0.0127,0.0127,,
wt,amp,MSH6,20,35,212,247,0.5472,0.5599,-0.0127,0.0127,,
lof,amp,SRC,20,113,157,270,0.5799,0.5674,0.0125,0.0125,,
lof,lof,CRKL,20,64,157,221,0.5591,0.5716,-0.0125,0.0125,,
wt,amp,EGFL7,20,30,218,248,0.5691,0.5566,0.0125,0.0125,,
lof,amp,NOTCH3,20,26,170,196,0.5598,0.5723,-0.0125,0.0125,,
lof,lof,ATRX,20,181,80,261,0.5737,0.5612,0.0124,0.0124,,
wt,amp,MYBL1,20,70,178,248,0.5686,0.5562,0.0124,0.0124,,
wt,amp,IRS2,20,35,157,192,0.5629,0.5505,0.0124,0.0124,,
wt,amp,FANCL,20,33,226,259,0.548,0.5604,-0.0124,0.0124,,
lof,lof,CTLA4,20,31,228,259,0.5641,0.5765,-0.0124,0.0124,,
wt,amp,XPO1,20,30,223,253,0.5508,0.5632,-0.0124,0.0124,,
wt,lof,CHEK1,20,48,197,245,0.5663,0.554,0.0123,0.0123,,
lof,amp,NR4A3,20,35,188,223,0.5795,0.5672,0.0123,0.0123,,
lof,amp,PALB2,20,31,197,228,0.5787,0.5664,0.0123,0.0123,,
wt,lof,SH2D1A,20,164,94,258,0.5642,0.5519,0.0122,0.0122,,
lof,lof,LZTR1,20,64,153,217,0.5611,0.5733,-0.0122,0.0122,,
lof,lof,IL6ST,20,36,202,238,0.5594,0.5716,-0.0122,0.0122,,
wt,amp,STK19,20,29,211,240,0.5674,0.5553,0.0122,0.0122,,
wt,lof,CDKN2B,20,132,124,256,0.5627,0.5506,0.0121,0.0121,1.02E-23,1.23E-22
lof,amp,INPPL1,20,70,166,236,0.5823,0.5701,0.0121,0.0121,,
lof,lof,AMER1,20,181,79,260,0.5731,0.5612,0.012,0.012,,
lof,amp,MAFB,20,123,148,271,0.5797,0.5676,0.012,0.012,,
lof,lof,INTS6,20,93,148,241,0.5819,0.5699,0.012,0.012,,
wt,amp,HDAC7,20,32,212,244,0.5711,0.5591,0.012,0.012,,
lof,amp,MLLT10,20,30,178,208,0.5808,0.5688,0.012,0.012,,
lof,amp,PLCG1,20,124,139,263,0.5811,0.5692,0.0119,0.0119,,
lof,amp,TENT5C,20,56,190,246,0.5759,0.564,0.0119,0.0119,,
wt,lof,ZNRF3,20,42,197,239,0.5641,0.5522,0.0119,0.0119,,
lof,amp,CIITA,20,35,191,226,0.5794,0.5675,0.0119,0.0119,,
lof,amp,ERG,20,31,168,199,0.5648,0.5767,-0.0119,0.0119,,
lof,lof,ARHGEF28,20,30,201,231,0.5822,0.5702,0.0119,0.0119,,
wt,amp,TRAF5,20,80,176,256,0.565,0.5532,0.0118,0.0118,,
lof,amp,ETV4,20,65,188,253,0.5766,0.5647,0.0118,0.0118,,
wt,amp,FGFR1,20,39,184,223,0.5634,0.5516,0.0118,0.0118,,
lof,amp,ROBO1,20,29,151,180,0.5795,0.5677,0.0118,0.0118,,
wt,amp,ATP6V1B2,20,27,173,200,0.5637,0.5519,0.0118,0.0118,,
lof,amp,PTPRT,20,123,134,257,0.5823,0.5706,0.0117,0.0117,,
lof,amp,WWTR1,20,88,175,263,0.5805,0.5688,0.0117,0.0117,,
wt,amp,ADHFE1,20,70,179,249,0.5678,0.5561,0.0117,0.0117,,
lof,lof,RAF1,20,64,177,241,0.5762,0.5645,0.0117,0.0117,,
lof,amp,LYN,20,64,181,245,0.5805,0.5688,0.0117,0.0117,,
wt,lof,CBL,20,44,197,241,0.5665,0.5548,0.0117,0.0117,,
lof,amp,LMO2,20,38,196,234,0.5833,0.5716,0.0117,0.0117,,
wt,lof,DIS3,20,38,195,233,0.5701,0.5584,0.0117,0.0117,,
lof,lof,MPL,20,36,193,229,0.5619,0.5736,-0.0117,0.0117,,
wt,amp,DAXX,20,29,216,245,0.5664,0.5547,0.0117,0.0117,,
wt,amp,VAV2,20,25,213,238,0.5691,0.5574,0.0117,0.0117,,
lof,amp,SOX13,20,80,180,,0.5665,0.5781,-0.0116,0.011605933,,
lof,lof,SESN3,20,45,156,201,0.5635,0.5751,-0.0116,0.0116,,
lof,lof,MYCL,20,35,197,232,0.5644,0.576,-0.0116,0.0116,,
wt,amp,ETAA1,20,28,230,258,0.5484,0.56,-0.0116,0.0116,,
lof,lof,MAPK1,20,66,155,221,0.5631,0.5746,-0.0115,0.0115,,
lof,amp,ADHFE1,20,73,178,251,0.5814,0.5701,0.0114,0.0114,,
lof,amp,PTCH1,20,39,179,218,0.583,0.5716,0.0114,0.0114,,
lof,lof,DDX4,20,37,204,241,0.5588,0.5702,-0.0114,0.0114,,
wt,lof,SESN3,20,28,210,238,0.565,0.5537,0.0114,0.0114,,
lof,amp,FYN,20,26,172,198,0.5803,0.5689,0.0114,0.0114,,
lof,amp,LRP5,20,77,170,247,0.5793,0.5681,0.0113,0.0113,,
lof,amp,PGR,20,69,146,215,0.5855,0.5742,0.0113,0.0113,,
lof,amp,TLX3,20,56,199,255,0.5806,0.5693,0.0113,0.0113,,
lof,lof,PGR,20,49,146,195,0.5629,0.5742,-0.0113,0.0113,,
lof,lof,ACKR3,20,42,219,261,0.5644,0.5757,-0.0113,0.0113,,
lof,lof,TAL1,20,35,195,230,0.5614,0.5726,-0.0113,0.0113,,
wt,amp,NFE2,20,27,224,251,0.5671,0.5558,0.0113,0.0113,,
lof,amp,RAD21,20,109,152,261,0.5827,0.5715,0.0112,0.0112,,
lof,amp,MECOM,20,96,167,263,0.5828,0.5716,0.0112,0.0112,,
wt,lof,KMT2A,20,41,178,219,0.5708,0.5597,0.0112,0.0112,,
wt,amp,WIF1,20,33,227,260,0.5726,0.5615,0.0112,0.0112,,
wt,lof,UBE2A,20,165,93,258,0.5639,0.5528,0.0111,0.0111,,
wt,lof,XIAP,20,164,90,254,0.5642,0.5531,0.0111,0.0111,,
wt,lof,MTAP,20,111,140,251,0.5663,0.5552,0.0111,0.0111,,
lof,amp,CD79B,20,97,170,267,0.5787,0.5677,0.0111,0.0111,,
lof,lof,NF2,20,75,166,241,0.5617,0.5728,-0.0111,0.0111,,
lof,lof,SMC3,20,53,200,253,0.566,0.577,-0.0111,0.0111,,
lof,lof,CD28,20,31,229,260,0.5641,0.5752,-0.0111,0.0111,,
lof,amp,ATR,20,76,173,249,0.5794,0.5684,0.011,0.011,,
lof,amp,AKT1,20,45,181,226,0.582,0.5711,0.011,0.011,,
lof,lof,MUTYH,20,35,202,237,0.5611,0.5721,-0.011,0.011,,
wt,amp,REL,20,31,226,257,0.5497,0.5607,-0.011,0.011,,
lof,lof,FURIN,20,29,193,222,0.5831,0.5721,0.011,0.011,,
lof,amp,FGFR3,20,28,169,197,0.5826,0.5716,0.011,0.011,,
wt,lof,CDKN2A,20,136,112,248,0.5634,0.5525,0.0109,0.0109,8.78E-19,1.05E-17
lof,lof,ANKRD11,20,59,141,200,0.5654,0.5763,-0.0109,0.0109,,
lof,lof,GREM1,20,38,217,255,0.5841,0.5732,0.0109,0.0109,,
lof,lof,VAV2,20,35,187,222,0.5635,0.5744,-0.0109,0.0109,,
wt,lof,ERCC5,20,35,183,218,0.5699,0.5589,0.0109,0.0109,,
wt,amp,NOTCH4,20,29,192,221,0.5671,0.5562,0.0109,0.0109,,
wt,amp,DUSP4,20,26,178,204,0.5626,0.5517,0.0109,0.0109,,
lof,amp,BRIP1,20,92,170,262,0.5804,0.5695,0.0108,0.0108,,
lof,amp,BCL6,20,89,174,263,0.5793,0.5684,0.0108,0.0108,,
wt,amp,NTRK1,20,87,163,250,0.5647,0.554,0.0108,0.0108,,
wt,amp,HOXB13,20,50,206,256,0.565,0.5542,0.0108,0.0108,,
lof,lof,CBFB,20,47,182,229,0.5615,0.5724,-0.0108,0.0108,,
wt,lof,YAP1,20,28,202,230,0.5634,0.5526,0.0108,0.0108,,
lof,amp,SNRPE,20,80,189,,0.5655,0.5763,-0.0108,0.010787605,,
wt,lof,BTK,20,164,92,256,0.5635,0.5528,0.0107,0.0107,,
lof,amp,GNAS,20,120,129,249,0.5797,0.569,0.0107,0.0107,,
lof,amp,WWP1,20,84,171,255,0.5837,0.5731,0.0107,0.0107,,
lof,lof,CHEK1,20,67,158,225,0.5774,0.5667,0.0107,0.0107,,
lof,lof,TLX1,20,58,194,252,0.5631,0.5737,-0.0106,0.0106,,
lof,amp,NF1,20,55,155,210,0.58,0.5694,0.0106,0.0106,,
lof,lof,SET,20,39,192,231,0.5619,0.5726,-0.0106,0.0106,,
wt,amp,H1-4,20,38,199,237,0.5694,0.5589,0.0106,0.0106,,
wt,amp,LTB,20,28,216,244,0.5669,0.5563,0.0106,0.0106,,
wt,lof,SMC1A,20,163,90,253,0.5622,0.5517,0.0105,0.0105,,
lof,amp,SPOP,20,92,176,268,0.5803,0.5698,0.0105,0.0105,,
lof,amp,ETV5,20,90,175,265,0.5818,0.5713,0.0105,0.0105,,
lof,lof,ERCC5,20,85,143,228,0.5801,0.5696,0.0105,0.0105,,
lof,amp,MDM4,20,79,187,266,0.5651,0.5756,-0.0105,0.0105,4.69E-10,5.63E-09
lof,amp,MERTK,20,26,226,252,0.5809,0.5704,0.0105,0.0105,,
lof,amp,SLX4,20,25,181,206,0.5785,0.568,0.0105,0.0105,,
lof,lof,GAB1,20,55,192,247,0.5794,0.569,0.0104,0.0104,,
wt,lof,KLF5,20,37,197,234,0.5711,0.5607,0.0104,0.0104,,
lof,amp,BTG1,20,27,224,251,0.5645,0.575,-0.0104,0.0104,,
wt,amp,YY1,20,25,198,223,0.5474,0.5579,-0.0104,0.0104,,
lof,amp,GNA12,20,119,136,255,0.5762,0.566,0.0103,0.0103,,
lof,lof,CDK8,20,93,154,247,0.5804,0.5701,0.0103,0.0103,,
wt,amp,ARID4B,20,79,164,243,0.562,0.5517,0.0103,0.0103,,
lof,amp,STAG1,20,72,186,258,0.5796,0.5694,0.0103,0.0103,,
lof,amp,RPS6KA4,20,59,191,250,0.5794,0.5691,0.0103,0.0103,,
lof,amp,BRSK1,20,55,176,231,0.5649,0.5753,-0.0103,0.0103,,
lof,amp,KISS1,20,79,189,,0.5648,0.5750,-0.0103,0.010286924,,
lof,amp,ATP2B4,20,80,180,,0.5661,0.5763,-0.0102,0.010242855,,
lof,lof,AXIN1,20,55,188,243,0.582,0.5718,0.0102,0.0102,,
lof,amp,HLA-C,20,53,156,209,0.5673,0.5775,-0.0102,0.0102,,
lof,amp,SET,20,45,192,237,0.5828,0.5726,0.0102,0.0102,,
wt,amp,CDK4,20,43,216,259,0.5692,0.559,0.0102,0.0102,,
lof,amp,CDKN1A,20,38,209,247,0.5827,0.5725,0.0102,0.0102,,
lof,amp,GRIN2A,20,35,193,228,0.5829,0.5727,0.0102,0.0102,,
wt,amp,MBD6,20,35,207,242,0.568,0.5578,0.0102,0.0102,,
lof,amp,ZNRF3,20,30,163,193,0.5793,0.5691,0.0102,0.0102,,
lof,amp,PRELP,20,81,183,,0.5655,0.5756,-0.0101,0.010117472,,
wt,amp,AKT3,20,84,171,255,0.5602,0.5501,0.0101,0.0101,,
wt,amp,TRIP13,20,73,186,259,0.5672,0.5571,0.0101,0.0101,,
lof,lof,CTR9,20,57,182,239,0.5631,0.5732,-0.0101,0.0101,,
lof,amp,ATP1A1,20,49,186,235,0.5763,0.5662,0.0101,0.0101,,
lof,amp,FOXA1,20,47,181,228,0.5827,0.5726,0.0101,0.0101,,
lof,lof,ABL1,20,42,183,225,0.5645,0.5746,-0.0101,0.0101,,
lof,amp,MYH11,20,33,191,224,0.577,0.5669,0.0101,0.0101,,
lof,amp,ARID4A,20,53,171,224,0.5854,0.5754,0.01,0.01,,
lof,lof,PPP2R1A,20,41,182,223,0.565,0.575,-0.01,0.01,,
lof,amp,SOS1,20,34,223,257,0.5683,0.5783,-0.01,0.01,,
lof,amp,CDK8,20,30,154,184,0.5601,0.5701,-0.01,0.01,,
lof,amp,PPP1R15B,20,79,178,,0.5648,0.5747,-0.0099,0.009930709,,
lof,lof,DDX3X,20,213,54,267,0.5704,0.5606,0.0099,0.0099,,
lof,lof,PPP2R2A,20,116,134,250,0.5782,0.5683,0.0099,0.0099,,
lof,amp,SAMHD1,20,110,160,270,0.5786,0.5687,0.0099,0.0099,,
wt,amp,MSI2,20,61,202,263,0.5656,0.5557,0.0099,0.0099,,
lof,amp,YY1,20,44,189,233,0.5811,0.5711,0.0099,0.0099,,
lof,amp,PPP6C,20,43,194,237,0.5819,0.572,0.0099,0.0099,,
wt,amp,TET3,20,29,208,237,0.5474,0.5573,-0.0099,0.0099,,
wt,amp,NUP214,20,26,202,228,0.5663,0.5565,0.0099,0.0099,,
lof,lof,FLCN,20,199,53,252,0.5718,0.5816,-0.0098,0.0098,,
lof,lof,NFKBIA,20,43,183,226,0.5771,0.5673,0.0098,0.0098,,
lof,lof,BLM,20,29,190,219,0.5831,0.5733,0.0098,0.0098,,
lof,amp,CYP19A1,20,25,210,235,0.5841,0.5743,0.0098,0.0098,,
lof,amp,REN,20,79,186,,0.5648,0.5745,-0.0098,0.009785945,,
lof,amp,EIF4A2,20,87,179,266,0.5794,0.5696,0.0097,0.0097,,
lof,amp,IGF1R,20,51,188,239,0.5805,0.5707,0.0097,0.0097,,
lof,amp,NF2,20,30,166,196,0.5825,0.5728,0.0097,0.0097,,
wt,amp,IKZF3,20,25,230,255,0.5676,0.558,0.0097,0.0097,,
wt,amp,PIK3C2B,20,87,158,,0.5629,0.5532,0.0097,0.009677029,,
lof,lof,TNFRSF14,20,56,181,237,0.5803,0.5707,0.0096,0.0096,,
wt,lof,JAK2,20,48,192,240,0.5517,0.5613,-0.0096,0.0096,,
lof,lof,LRP1B,20,40,166,206,0.5624,0.5721,-0.0096,0.0096,,
lof,amp,CDKN2C,20,37,195,232,0.5628,0.5724,-0.0096,0.0096,,
lof,amp,SGK1,20,28,186,214,0.5639,0.5735,-0.0096,0.0096,,
wt,amp,BRCA1,20,28,217,245,0.5701,0.5605,0.0096,0.0096,,
wt,amp,SMARCE1,20,25,234,259,0.5676,0.558,0.0096,0.0096,,
lof,lof,RNASEH2B,20,94,149,243,0.5814,0.5719,0.0095,0.0095,,
lof,lof,MIDEAS,20,40,174,214,0.5666,0.5761,-0.0095,0.0095,,
lof,lof,RRAGC,20,36,204,240,0.5604,0.57,-0.0095,0.0095,,
wt,amp,BRD3,20,26,214,240,0.5663,0.5568,0.0095,0.0095,,
wt,amp,DIS3,20,26,195,221,0.5679,0.5584,0.0095,0.0095,,
lof,amp,MRE11,20,74,152,226,0.58,0.5706,0.0094,0.0094,,
lof,lof,RAD50,20,29,207,236,0.5773,0.5679,0.0094,0.0094,,
lof,amp,LAX1,20,80,184,,0.5655,0.5748,-0.0093,0.009301266,,
lof,lof,CD276,20,35,201,236,0.5841,0.5748,0.0093,0.0093,,
lof,lof,APC,20,32,177,209,0.5777,0.5684,0.0093,0.0093,,
wt,amp,NTRK3,20,31,212,243,0.5691,0.5598,0.0093,0.0093,,
lof,amp,SESN1,20,26,174,200,0.5803,0.5709,0.0093,0.0093,,
lof,amp,GOLT1A,20,79,185,,0.5648,0.5740,-0.0093,0.009274729,,
