TP53 Background,Test Condition,Gene Name,Number of cell lines sampled in each bootstrap,Number of test condition cell lines,Number of wild type cell lines,Total,BM mean in test condition,BM mean in wild-type condition,Difference,Absolute Difference,Two-sided t-test p-value,Bonferroni corrected p-value
lof,amp,CYLD,20,43,181,224,0.5967,0.5696,0.0271,0.0271,,
wt,lof,SFRP2,20,33,223,256,0.5839,0.5568,0.0271,0.0271,,
lof,amp,SHQ1,20,31,156,187,0.5912,0.5641,0.0271,0.0271,,
wt,amp,YAP1,20,30,202,232,0.5795,0.5526,0.027,0.027,,
lof,lof,TENT5C,20,29,190,219,0.591,0.564,0.027,0.027,,
wt,amp,EPHB1,20,39,209,248,0.5811,0.5543,0.0268,0.0268,,
lof,lof,PALB2,20,40,197,237,0.5928,0.5664,0.0264,0.0264,,
wt,amp,TP63,20,44,202,246,0.5784,0.5521,0.0263,0.0263,,
wt,amp,PPP2R1A,20,25,223,248,0.5386,0.5649,-0.0263,0.0263,,
lof,amp,NUP98,20,26,166,192,0.5982,0.572,0.0262,0.0262,,
lof,amp,RASA1,20,31,206,237,0.595,0.5691,0.0259,0.0259,,
wt,lof,SMAD4,20,57,197,254,0.5795,0.5538,0.0258,0.0258,,
wt,amp,PIK3CA,20,47,181,228,0.5793,0.5536,0.0257,0.0257,,
wt,lof,SHQ1,20,35,213,248,0.58,0.5543,0.0257,0.0257,,
lof,amp,FGF19,20,86,172,258,0.5915,0.5659,0.0256,0.0256,,
wt,amp,ETV5,20,47,206,253,0.5789,0.5533,0.0256,0.0256,,
lof,amp,GNAQ,20,39,181,220,0.593,0.5674,0.0256,0.0256,,
lof,lof,MYH11,20,41,191,232,0.5923,0.5669,0.0254,0.0254,,
lof,lof,FUS,20,29,197,226,0.5923,0.567,0.0254,0.0254,,
lof,lof,PDCD1LG2,20,108,131,239,0.5852,0.56,0.0253,0.0253,,
lof,amp,ZFHX3,20,45,151,196,0.5959,0.5706,0.0253,0.0253,,
wt,amp,CDKN1B,20,38,211,249,0.582,0.5568,0.0253,0.0253,,
wt,amp,EED,20,28,217,245,0.5805,0.5553,0.0252,0.0252,,
wt,lof,FOXP1,20,38,204,242,0.5811,0.556,0.0251,0.0251,,
lof,lof,CREBBP,20,52,177,229,0.5956,0.5706,0.025,0.025,,
wt,lof,FAT1,20,45,169,214,0.5824,0.5573,0.025,0.025,,
wt,amp,KDM5A,20,42,194,236,0.5785,0.5536,0.025,0.025,,
lof,amp,ARHGEF28,20,33,201,234,0.5953,0.5702,0.025,0.025,,
wt,amp,GAB2,20,30,219,249,0.5796,0.5546,0.025,0.025,,
wt,lof,DUSP4,20,55,178,233,0.5764,0.5517,0.0247,0.0247,,
wt,amp,MAP2K1,20,26,226,252,0.582,0.5572,0.0247,0.0247,,
lof,lof,AJUBA,20,49,184,233,0.5898,0.5653,0.0245,0.0245,,
wt,amp,PGR,20,29,195,224,0.5817,0.5571,0.0245,0.0245,,
lof,amp,CCND2,20,54,183,237,0.5919,0.5675,0.0244,0.0244,,
wt,lof,PDS5B,20,37,188,225,0.5779,0.5536,0.0243,0.0243,,
wt,amp,RICTOR,20,67,184,251,0.5774,0.5533,0.0241,0.0241,,
wt,amp,HLA-C,20,33,158,191,0.5775,0.5535,0.0239,0.0239,,
lof,amp,RET,20,31,197,228,0.5959,0.5719,0.0239,0.0239,,
wt,amp,GATA2,20,32,220,252,0.5794,0.5556,0.0238,0.0238,,
wt,amp,KLF4,20,32,212,244,0.578,0.5542,0.0238,0.0238,,
lof,lof,MAPK3,20,29,199,228,0.5915,0.5677,0.0238,0.0238,,
wt,amp,PHF19,20,30,204,234,0.5748,0.5511,0.0237,0.0237,,
lof,lof,PTPRD,20,114,116,230,0.5837,0.5601,0.0236,0.0236,,
wt,amp,EXT1,20,83,167,250,0.5727,0.5492,0.0235,0.0235,,
wt,amp,BAALC,20,79,176,255,0.5745,0.551,0.0235,0.0235,,
wt,amp,ALK,20,33,204,237,0.5399,0.5634,-0.0235,0.0235,,
lof,amp,RRAS2,20,30,192,222,0.5946,0.5711,0.0235,0.0235,,
lof,lof,SETD1A,20,29,197,226,0.5923,0.5689,0.0234,0.0234,,
lof,amp,FOXP1,20,29,156,185,0.5899,0.5665,0.0234,0.0234,,
wt,amp,FLT4,20,46,191,237,0.5813,0.558,0.0233,0.0233,,
wt,amp,TBL1XR1,20,46,210,256,0.5765,0.5532,0.0233,0.0233,,
lof,amp,FGF3,20,85,172,257,0.5871,0.564,0.0232,0.0232,,
wt,amp,ETV6,20,38,206,244,0.5764,0.5533,0.0232,0.0232,,
wt,lof,MLH1,20,34,216,250,0.5806,0.5574,0.0232,0.0232,,
wt,lof,ATP6V1B2,20,60,173,233,0.5749,0.5519,0.0231,0.0231,,
wt,amp,RECQL,20,43,211,254,0.582,0.5589,0.0231,0.0231,,
wt,amp,SOS1,20,31,215,246,0.5384,0.5615,-0.0231,0.0231,,
lof,amp,CDKN1B,20,49,185,234,0.5897,0.5668,0.0229,0.0229,,
lof,amp,HSD17B2,20,44,170,214,0.5932,0.5703,0.0229,0.0229,,
wt,lof,ESCO2,20,56,177,233,0.574,0.5514,0.0226,0.0226,,
wt,lof,EPHA3,20,28,197,225,0.5804,0.5577,0.0226,0.0226,,
lof,amp,FGF4,20,85,173,258,0.5871,0.5647,0.0224,0.0224,,
wt,lof,CTNNB1,20,35,208,243,0.5758,0.5535,0.0224,0.0224,,
wt,lof,FGFR3,20,30,200,230,0.5781,0.5557,0.0224,0.0224,,
lof,amp,CHEK2,20,28,167,195,0.594,0.5715,0.0224,0.0224,,
lof,lof,CD274,20,107,130,237,0.5837,0.5614,0.0223,0.0223,,
lof,amp,SMARCE1,20,66,181,247,0.5877,0.5654,0.0223,0.0223,,
wt,amp,PRKCI,20,50,200,250,0.5757,0.5534,0.0223,0.0223,,
lof,lof,FGFR2,20,58,193,251,0.5546,0.5768,-0.0222,0.0222,,
lof,lof,RBM15,20,34,187,221,0.59,0.5678,0.0222,0.0222,,
wt,amp,HLA-B,20,36,170,206,0.5731,0.5509,0.0221,0.0221,,
lof,amp,FGFR1,20,53,143,196,0.5908,0.5689,0.0219,0.0219,,
wt,amp,BCL6,20,46,206,252,0.5755,0.5536,0.0219,0.0219,,
lof,amp,TERT,20,103,149,252,0.5884,0.5666,0.0218,0.0218,,
wt,amp,APC,20,38,196,234,0.5818,0.56,0.0218,0.0218,,
lof,amp,MSH3,20,27,208,235,0.5927,0.5709,0.0218,0.0218,,
wt,amp,MYC,20,100,156,256,0.5722,0.5504,0.0217,0.0217,,
lof,amp,STAT5B,20,62,180,242,0.5872,0.5656,0.0216,0.0216,,
lof,amp,GLI1,20,33,219,252,0.5907,0.569,0.0216,0.0216,,
wt,lof,PPP2R2A,20,56,180,236,0.5767,0.5552,0.0215,0.0215,,
wt,amp,DCUN1D1,20,48,210,258,0.5733,0.5518,0.0215,0.0215,,
lof,amp,PDCD1LG2,20,37,131,168,0.5815,0.56,0.0215,0.0215,,
lof,amp,SDHA,20,101,153,254,0.5859,0.5645,0.0214,0.0214,,
wt,amp,ID1,20,86,174,260,0.5739,0.5525,0.0214,0.0214,,
lof,amp,APC,20,36,177,213,0.5897,0.5684,0.0213,0.0213,,
wt,amp,SMAD3,20,28,225,253,0.5804,0.5591,0.0213,0.0213,,
lof,amp,NCOA3,20,125,146,271,0.5843,0.5631,0.0212,0.0212,,
wt,amp,SOX17,20,66,183,249,0.57,0.5489,0.0212,0.0212,,
lof,amp,MEF2C,20,30,204,234,0.5918,0.5706,0.0212,0.0212,,
wt,amp,NCOA3,20,96,158,254,0.5722,0.5511,0.0211,0.0211,,
lof,lof,NTHL1,20,51,198,249,0.5883,0.5673,0.0211,0.0211,,
lof,amp,FGFR4,20,60,190,250,0.5891,0.5681,0.021,0.021,,
lof,amp,NSD1,20,60,185,245,0.5891,0.5681,0.021,0.021,,
lof,lof,CDKN2A,20,156,82,238,0.5777,0.5569,0.0209,0.0209,5.89E-38,7.07E-37
wt,amp,LYN,20,65,187,252,0.5712,0.5503,0.0209,0.0209,,
lof,lof,CIITA,20,40,191,231,0.5884,0.5675,0.0209,0.0209,,
lof,lof,JAK2,20,106,128,234,0.5838,0.563,0.0208,0.0208,,
lof,amp,EED,20,78,155,233,0.5875,0.5667,0.0208,0.0208,,
lof,amp,STAT5A,20,62,185,247,0.587,0.5662,0.0208,0.0208,,
